time FoF2
 0.00  2.81
 1.00  2.62
 2.00  2.00
 3.00   nan
 4.00  2.61
 5.00  4.53
 6.00  5.52
 7.00  5.11
 8.00  5.38
 9.00  5.59
10.00  5.17
11.00  4.84
12.00  4.77
13.00  4.41
14.00  3.81
15.00  2.80
16.00  2.25
17.00  2.01
18.00   nan
19.00  1.82
20.00  2.13
21.00  2.19
22.00  2.37
23.00  2.07
