1	7	
2	3	
3	4	
4	17	
5	7	
6	3	
7	4	
8	7	
9	7	
10	7	
11	25	
12	11	
13	16	
14	13	
15	11	
16	5	
17	36	
18	44	
19	42	
20	35	
21	22	
22	11	
23	4	
24	4	
25	4	
26	17	
27	6	
28	4	
29	5	
30	4	
31	12	
32	5	
33	1	
34	2	
35	8	
36	3	
37	0	
38	7	
39	2	
40	0	
41	3	
42	6	
43	5	
44	29	
45	31	
46	26	
47	24	
48	19	
49	15	
50	19	
51	6	
52	3	
53	5	
54	9	
55	10	
56	7	
57	2	
58	1	
59	2	
60	5	
61	29	
62	43	
63	13	
64	2	
65	3	
66	3	
67	3	
68	4	
69	3	
70	1	
71	8	
72	45	
73	21	
74	21	
75	27	
76	19	
77	8	
78	4	
79	4	
80	3	
81	2	
82	9	
83	6	
84	6	
85	6	
86	2	
87	4	
88	5	
89	2	
90	7	
91	15	
92	6	
93	8	
94	4	
95	3	
96	5	
97	9	
98	31	
99	18	
100	46	
101	20	
102	12	
103	8	
104	2	
105	2	
106	2	
107	4	
108	6	
109	7	
110	4	
111	3	
112	2	
113	11	
114	4	
115	3	
116	2	
117	1	
118	4	
119	5	
120	3	
121	4  
