1	202.175
2	201.95
3	203.65
4	206.975
5	207.5
6	206.575
7	205.8
8	204.15
9	204.025
10	205.675
11	204.725
12	206.1
13	205.875
14	201.875
15	197.85
16	197.175
17	198.325
18	198.05
19	193.725
20	194.625
21	194.95
22	198.25
23	200.825
24	202.925
25	201.775
26	203.775
27	204.35
28	200.45
29	199.1
30	198.95
31	200.4
32	200.325
33	202.275
34	206.05
35	211.025
36	210.925
37	209.675
38	208.775
39	206.375
40	204.5
41	205.9
42	212.625
43	219.975
44	221.775
45	225.95
46	222.675
47	221.95
48	217
49	211.875
50	206.575
51	207.875
52	207.475
53	204.55
54	199.25
55	191.525
56	189.225
57	192.075
58	189.475
59	193.475
60	212.15
61	215.825
62	217.1
63	224.05
64	232.675
65	240.275
66	233.85
67	225
68	211.65
69	208.875
70	204.95
71	200.875
72	207.95
73	210.1
74	206.025
75	203.6
76	204.525
77	210.125
78	213.725
79	215.475
80	217.575
81	223.2
82	232.7
83	243.65
84	242.55
85	238.5
86	234.975
87	227.375
88	226.9
89	220.325
90	218.325
91	216.225
92	216.4
93	217.525
94	215.075
95	215.325
96	219.15
97	222.175
98	220.925
99	215.875
100	213.3
101	213
102	215.1
103	216.65
104	216.125
105	217
106	218.65
107	217.625
108	218.925
109	219.75
110	220.625
111	220.1
112	221.075
113	221
114	221.45
115	222.125
116	221.55
117	221.575
118	221.65
119	222.5
120	220.2
121	220.125
122	219.75
