1	4.62
2	4.338
3	4.388
4	4.692
5	4.92
6	5.278
7	4.73
8	4.744
9	4.4
10	4.388
11	4.442
12	4.816
13	4.806
14	4.68
15	4.456
16	4.596
17	4.916
18	4.802
19	4.512
20	4.672
21	4.834
22	4.73
23	5.046
24	4.688
25	4.484
26	4.436
27	4.466
28	4.462
29	4.412
30	4.474
31	4.722
32	4.782
33	4.804
34	5.22
35	5.274
36	5.186
37	5.164
38	5.112
39	4.872
40	5.026
41	5.074
42	4.868
43	4.594
44	4.686
45	4.806
46	4.702
47	4.702
48	4.748
49	4.68
50	4.462
51	4.278
52	4.396
53	2.6636
54	4.742
55	4.844
56	4.7
57	4.652
58	4.73
59	4.98
60	4.798
61	5.012
62	2.6636
63	5.276
64	4.828
65	4.574
66	5.03
67	5.198
68	4.98
69	4.924
70	5.068
71	5.012
72	4.776
73	4.88
74	4.982
75	5.15
76	6.3
77	5.396
78	4.906
79	4.908
80	5.07
81	5.234
82	5.348
83	5.144
84	5.63
85	5.342
86	4.794
87	4.74
88	4.92
89	5.104
90	5.368
