Moscow   2008 : 365 (30 December)
  00:02	    2.875    Auto
  00:07	    2.900    Auto
  00:12	    2.775    Auto
  00:17	    2.850    Auto
  00:22	    2.825    Auto
  00:27	    2.900    Auto
  00:32	    2.925    Auto
  00:37	    2.775    Auto
  00:42	    2.900    Auto
  00:47	    2.700    Auto
  00:52	    2.825    Auto
  00:57	      N/A    Auto
  01:02	    2.925    Auto
  01:07	    2.675    Auto
  01:12	    2.675    Auto
  01:17	    2.925    Auto
  01:22	    2.775    Auto
  01:27	      N/A    Auto
  01:32	    2.675    Auto
  01:37	    2.425    Auto
  01:42	    2.500    Auto
  01:47	    2.500    Auto
  01:52	    2.525    Auto
  01:57	    2.375    Auto
  02:02	    2.400    Auto
  02:07	    2.400    Auto
  02:12	    2.275    Auto
  02:17	    2.300    Auto
  02:22	    2.375    Auto
  02:27	    2.275    Auto
  02:32	    2.275    Auto
  02:37	    2.400    Auto
  02:42	    2.425    Auto
  02:47	    2.450    Auto
  02:52	    2.650    Auto
  02:57	    2.500    Auto
  03:02	    2.500    Auto
  03:07	    2.525    Auto
  03:12	    2.525    Auto
  03:17	    2.525    Auto
  03:22	    2.550    Auto
  03:27	    2.650    Auto
  03:32	    2.725    Auto
  03:37	    2.675    Auto
  03:42	    2.700    Auto
  03:47	    2.750    Auto
  03:52	    2.725    Auto
  03:57	    2.825    Auto
  04:02	    2.750    Auto
  04:07	    2.850    Auto
  04:12	    2.850    Auto
  04:17	    2.725    Auto
  04:22	    2.825    Auto
  04:27	    2.750    Auto
  04:32	    2.725    Auto
  04:37	    2.675    Auto
  04:42	    2.625    Auto
  04:47	    2.700    Auto
  04:52	    2.700    Auto
  04:57	    2.750    Auto
  05:02	    2.800    Auto
  05:17	    3.200    Auto
  05:32	    3.350    Auto
  05:47	    3.600    Auto
  06:02	    3.725    Auto
  06:17	    4.075    Auto
  06:32	      N/A    Auto
  06:47	    4.175    Auto
  07:02	    4.650    Auto
  07:17	    4.650    Auto
  07:32	    4.575    Auto
  07:47	    5.000    Auto
  08:02	    4.850    Auto
  08:17	    5.100    Auto
  08:32	    4.525    Auto
  08:47	    4.500    Auto
  09:02	    4.800    Auto
  09:17	    4.675    Auto
  09:32	    4.275    Auto
  09:47	    4.425    Auto
  10:02	    4.375    Auto
  10:17	      N/A    Auto
  10:32	    4.362    Auto
  10:47	    4.200    Auto
  11:02	      N/A    Auto
  11:17	    4.125    Auto
  11:32	    4.775    Auto
  11:47	    4.900    Auto
  12:02	    4.425    Auto
  12:17	    4.325    Auto
  12:32	    3.993    Auto
  12:47	    3.975    Auto
  13:02	    3.925    Auto
  13:17	    3.850    Auto
  13:32	      N/A    Auto
  13:47	    3.300    Auto
  14:02	    2.950    Auto
  14:17	    2.250    Auto
  14:32	    2.200    Auto
  14:47	      N/A    Auto
  15:02	    2.500    Auto
  15:17	    2.525    Auto
  15:32	    2.400    Auto
  15:47	    2.425    Auto
  16:02	    2.200    Auto
  16:17	    2.050    Auto
  16:32	    1.850    Auto
  16:47	    2.175    Auto
  17:02	    2.200    Auto
  17:17	    2.275    Auto
  17:32	      N/A    Auto
  17:47	      N/A    Auto
  18:02	    2.550    Auto
  18:17	    2.525    Auto
  18:32	    2.550    Auto
  18:47	    2.275    Auto
  19:02	    2.350    Auto
  19:17	    2.300    Auto
  19:32	    2.275    Auto
  19:47	    2.725    Auto
  20:02	    2.950    Auto
  20:17	    3.025    Auto
  20:32	    3.150    Auto
  20:47	    3.025    Auto
  21:02	    2.775    Auto
  21:07	    2.675    Auto
  21:12	    2.800    Auto
  21:17	    2.850    Auto
  21:22	    2.675    Auto
  21:27	    2.700    Auto
  21:32	    2.925    Auto
  21:37	    2.850    Auto
  21:42	    2.875    Auto
  21:47	    3.100    Auto
  21:52	    2.875    Auto
  21:57	    2.950    Auto
  22:02	    2.750    Auto
  22:07	    2.900    Auto
  22:12	    2.900    Auto
  22:17	    2.900    Auto
  22:22	    3.075    Auto
  22:27	    2.875    Auto
  22:32	    2.875    Auto
  22:37	    2.875    Auto
  22:42	    2.875    Auto
  22:47	    2.925    Auto
  22:52	    2.975    Auto
  22:57	    2.925    Auto
  23:02	    2.875    Auto
  23:07	    2.925    Auto
  23:12	    2.900    Auto
  23:17	    2.925    Auto
  23:22	    2.925    Auto
  23:27	    3.150    Auto
  23:32	    3.250    Auto
  23:37	    3.025    Auto
  23:42	    3.175    Auto
  23:47	    3.175    Auto
  23:52	    3.200    Auto
  23:57	      N/A    Auto
